Serial No,Month,Ward,Ward No,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
148,Nov,2,C,4,4,4,4,4,3,4,0
149,Nov,2,C,5,5,5,4,4,4,4,0
74,Nov,2,C,3,4,4,4,4,3,3,0
64,Nov,2,B2,4,4,4,4,4,1,3,0
152,Nov,2,B2,2,4,4,4,4,3,4,0
53,Nov,2,B2,4,4,4,3,4,4,4,0
132,Nov,2,B2,4,4,4,5,4,3,4,0
62,Nov,2,B2,4,4,4,4,4,4,4,0
137,Nov,2,B2,4,4,4,4,4,4,4,0
77,Nov,2,C,3,4,4,5,4,4,4,0
135,Nov,2,B2,4,5,4,5,5,4,4,0
66,Nov,2,B2,4,4,4,4,4,3,3,0
63,Nov,2,C,4,4,4,4,4,3,3,0
131,Nov,2,C,4,4,4,4,4,4,4,0
61,Nov,2,C,4,4,4,4,2,3,4,0
71,Nov,2,C,4,4,4,4,4,3,4,0
67,Nov,2,C,4,4,4,4,4,3,3,0
130,Nov,2,C,4,4,4,4,4,4,5,0
81,Nov,2,C,4,5,4,5,5,4,4,0
60,Nov,2,C,2,2,4,2,3,1,2,0
83,Nov,2,C,3,4,4,4,4,4,3,0
73,Nov,2,C,4,4,4,4,4,3,4,0
140,Nov,2,C,4,4,4,4,4,4,4,0
56,Nov,2,C,4,4,4,4,4,4,4,0
68,Nov,2,C,4,5,3,5,4,2,3,0
153,Nov,2,C,3,4,4,5,4,3,3,0
69,Nov,2,C,3,3,3,4,4,2,3,0
73,Oct,1,A,5,5,5,5,4,4,5,5
62,Oct,1,A,4,5,5,5,5,4,5,5
46,Oct,1,A,4,5,5,5,4,4,4,5
5,Oct,1,A,4,5,5,5,4,4,5,5
66,Oct,1,A,5,5,5,5,4,4,5,4
72,Oct,1,A,4,5,5,5,4,4,5,4
71,Oct,1,A,4,5,5,5,4,3,3,4
65,Oct,1,A,4,5,5,5,4,3,4,4
70,Oct,1,A,4,5,5,5,4,4,4,4
61,Oct,1,A,4,5,5,5,4,4,5,5
144,Oct,1,A,3,3,5,5,4,3,3,4
87,Oct,1,B1,5,5,5,5,4,4,5,5
89,Oct,1,B1,4,5,5,5,4,4,4,4
85,Oct,1,B1,5,5,5,5,5,5,5,3
90,Oct,1,B1,4,5,5,5,4,3,4,4
3,Oct,1,B1,4,5,5,5,3,4,4,4
78,Oct,1,B1,4,5,5,5,4,4,4,3
57,Oct,1,A,4,5,5,5,4,4,4,3
56,Oct,1,A,5,5,5,5,4,4,4,3
59,Oct,1,A,4,5,5,5,4,4,4,3
69,Oct,1,A,4,5,5,5,5,4,4,4
55,Oct,1,A,4,5,5,5,4,4,4,3
68,Oct,1,A,4,5,5,5,4,4,4,4
64,Oct,1,A,4,5,5,5,5,4,4,4
58,Oct,1,A,4,5,5,5,4,4,4,3
67,Oct,1,A,5,5,5,5,4,4,4,4
77,Oct,1,B1,4,5,5,5,4,4,4,3
84,Oct,1,B1,5,5,5,5,5,4,4,3
83,Oct,1,B1,4,5,5,5,4,4,4,3
63,Oct,1,A,4,5,5,5,4,4,4,4
82,Oct,1,B1,4,5,5,5,4,4,4,3
1,Oct,1,B1,4,5,5,5,4,3,3,4
86,Oct,1,B1,4,5,5,5,5,4,4,5
54,Oct,1,A,4,5,5,5,5,4,4,3
81,Oct,1,B1,4,5,5,5,4,4,4,3
