Project.Name,Sale_Year,Postal.Code,Property.Type,Average_Price,Median_Price
CORAL PARK,2017,576026,Terrace House,2560500,2560500
CORAL PARK,2017,576047,Semi-Detached House,3630000,3630000
CORAL PARK,2017,576098,Terrace House,2800000,2800000
CORAL PARK,2017,576112,Terrace House,2535000,2535000
CORAL PARK,2017,577242,Semi-Detached House,4.00E+06,4.00E+06
CORAL PARK,2017,577249,Semi-Detached House,4138000,4138000
CORALIS,2017,427710,Condominium,1107000,1120000
CORALS AT KEPPEL BAY,2017,98012,Condominium,3100170.333,3360000
CORALS AT KEPPEL BAY,2017,98013,Condominium,6520000,6520000
CORALS AT KEPPEL BAY,2017,98014,Condominium,13760600,13760600
CORALS AT KEPPEL BAY,2017,98016,Condominium,3234666.667,3250000
CORALS AT KEPPEL BAY,2017,98017,Condominium,2552000,2460000
CORALS AT KEPPEL BAY,2017,98018,Condominium,1824600,1708000
CORALS AT KEPPEL BAY,2017,98019,Condominium,2451250,2407000
CORALS AT KEPPEL BAY,2017,98020,Condominium,2001200,1785000
CORALS AT KEPPEL BAY,2017,98021,Condominium,1851375,1864500
CORALS AT KEPPEL BAY,2017,98022,Condominium,1586222.222,1590000
CORONA VILLE,2017,268535,Condominium,1830000,1830000
CORONATION GROVE,2017,269525,Condominium,1815000,1815000
CORONATION SHOPPING PLAZA,2017,269707,Apartment,1410000,1410000
CORONATION VILLAGE,2017,269509,Terrace House,4250000,4250000
COSMO,2017,399914,Apartment,827500,882500
COSTA DEL SOL,2017,469986,Condominium,1574976,1580000
COSTA DEL SOL,2017,469987,Condominium,1643750,1635000
COSTA DEL SOL,2017,469988,Condominium,1873500,1830000
COSTA DEL SOL,2017,469990,Condominium,1655000,1650000
COSTA DEL SOL,2017,469991,Condominium,1740000,1740000
COSTA DEL SOL,2017,469992,Condominium,1536000,1520000
COSTA DEL SOL,2017,469993,Condominium,1499000,1532000
COSTA ESTE,2017,425653,Apartment,935000,935000
COSTA RHU,2017,437431,Condominium,1927538.462,1800000
COSTA RHU,2017,437433,Condominium,1465428.571,1250000
COSTA RHU,2017,437434,Condominium,1806916.667,1750000
COSTA RHU,2017,437436,Condominium,2333000,2350000
COSY 23,2017,398355,Apartment,945000,945000
COTE D'AZUR,2017,449297,Condominium,1554000,1554000
COTE D'AZUR,2017,449298,Condominium,1890000,1760000
COTE D'AZUR,2017,449300,Condominium,1680750,1661500
COTE D'AZUR,2017,449301,Condominium,1673850,1615400
COTE D'AZUR,2017,449302,Condominium,1581537.6,1393888
COUNTRY ESQUIRE,2017,576438,Condominium,1900000,1900000
COUNTRY GRANDEUR,2017,576439,Condominium,1611000,1605000
COUNTRY PARK CONDOMINIUM,2017,469360,Condominium,1635000,1540000
COUNTRY PARK CONDOMINIUM,2017,469361,Condominium,1642500,1642500
COUNTRY PARK CONDOMINIUM,2017,469567,Condominium,1265000,1265000
COUNTRY PARK CONDOMINIUM,2017,469568,Condominium,1721000,1721000
CRADELS,2017,328754,Apartment,708333.3333,678500
CRAIG PLACE,2017,89692,Apartment,1215000,1215000
CRANE COURT,2017,429381,Apartment,938000,938000
CRESCENDO BUILDING,2017,455291,Apartment,1080000,1080000
CRESCENDO PARK,2017,457269,Condominium,1520000,1520000
CRYSTAL COURT,2017,248342,Apartment,1950000,1950000
CRYSTAL DE AZURE,2017,538645,Apartment,930000,930000
CRYSTAL HEIGHTS,2017,118885,Apartment,1280000,1280000
CRYSTAL LODGE,2017,398870,Apartment,780000,780000
CRYSTAL MANSIONS,2017,399165,Apartment,810000,810000
CRYSTAL RHU,2017,436889,Apartment,1630000,1650000
CRYSTAL TOWER,2017,259335,Apartment,180650000,180650000
CUBE 8,2017,298130,Condominium,1531266.667,1725000
CUSCADEN RESIDENCES,2017,249722,Condominium,2882500,2925000
CUSCADEN RESIDENCES,2017,249723,Condominium,2750000,2750000
CUSCADEN ROYALE,2017,249696,Apartment,2900000,2900000
CYAN,2017,258709,Condominium,1848444.444,2130000
CYAN,2017,258710,Condominium,2072142.857,2010000
D' ALMIRA,2017,358262,Apartment,1559000,1559000
D' ALMIRA,2017,358265,Apartment,1315000,1310000
D' CASITA,2017,417104,Apartment,1079500,1019000
D' CASTILIA,2017,428104,Apartment,1480000,1480000
D' DALVEY,2017,259555,Apartment,1685000,1685000
D' FRESCO,2017,428109,Apartment,1457500,1240000
D' KENARIS,2017,809009,Semi-Detached House,1765000,1765000
D'CHATEAU @ SHELFORD,2017,288416,Apartment,1357500,1357500
D'ECOSIA,2017,423936,Condominium,863000,863000
D'ECOSIA,2017,423937,Condominium,1950000,1950000
D'ELIAS,2017,519855,Terrace House,1795000,1795000
D'EVELYN,2017,309307,Apartment,1975000,1975000
D'FOCUS APARTMENTS,2017,438789,Apartment,1380000,1380000
D'GALLERY,2017,418936,Apartment,1160000,1160000
D'GROVE VILLAS,2017,258343,Condominium,4590000,4520000
D'LEEDON,2017,266224,Condominium,2235300,1769000
D'LEEDON,2017,266225,Condominium,4372928,4662680
D'LEEDON,2017,267949,Semi-Detached House,5240800,5240800
D'LEEDON,2017,267951,Condominium,5000054.545,5014000
D'LEEDON,2017,267952,Condominium,3170138.182,3165000
D'LEEDON,2017,267953,Condominium,3017680,3245000
D'LEEDON,2017,267954,Condominium,2935110,3070160
D'LEEDON,2017,267955,Condominium,2631000,1785000
D'LOTUS,2017,328784,Apartment,967966.3333,910000
D'MANOR,2017,465672,Terrace House,1680000,1680000
D'MANOR,2017,465682,Terrace House,1730000,1730000
D'MANOR,2017,465709,Terrace House,1640000,1640000
D'MANOR,2017,465740,Terrace House,1650000,1650000
D'MANOR,2017,465776,Semi-Detached House,1680000,1680000
D'NEST,2017,518130,Condominium,730000,730000
D'NEST,2017,518131,Condominium,1047560,835000
D'NEST,2017,518132,Condominium,615000,615000
D'NEST,2017,518133,Condominium,939500,839000
D'NEST,2017,518134,Condominium,1200000,1200000
D'NEST,2017,518135,Condominium,677333.3333,6.00E+05
D'NEST,2017,518136,Condominium,949000,949000
D'NEST,2017,518137,Condominium,1194057.143,1322880
D'NEST,2017,518138,Condominium,919802.5455,655000
D'NEST,2017,518139,Condominium,1461000,1335000
D'NEST,2017,518178,Condominium,685000,630000
D'NEST,2017,518179,Condominium,864000,884000
D'OASIA,2017,416905,Apartment,956250,1019000
D'PAVILION,2017,534163,Apartment,1490000,1490000
D'PAVILION,2017,534671,Apartment,2200000,2200000
D'SAVILLE,2017,428268,Apartment,1320000,1320000
D'WEAVE,2017,387866,Apartment,717333.3333,750000
D'ZIRE,2017,546290,Apartment,565000,565000
D-MANSIONS,2017,439275,Apartment,1048000,1048000
D - HERITAGE APARTMENTS,2017,417659,Apartment,1006400,1006400
DAHLIA PARK CONDOMINIUM,2017,507009,Condominium,1051388,1051388
DAHLIA PARK CONDOMINIUM,2017,507010,Condominium,1061200,1050000
DAHLIA PARK CONDOMINIUM,2017,507012,Condominium,1200000,1200000
DAIRY FARM ESTATE,2017,679050,Condominium,1900000,1900000
DAIRY FARM ESTATE,2017,679051,Condominium,1438000,1438000
DAIRY FARM ESTATE,2017,679052,Condominium,1360000,1360000
DAISY SUITES,2017,359455,Apartment,1053333.333,1.00E+06
DAKOTA RESIDENCES,2017,399936,Condominium,1742400,1720000
DAKOTA RESIDENCES,2017,399937,Condominium,2500000,2500000
DAKOTA RESIDENCES,2017,399938,Condominium,1940000,1870000
DAKOTA RESIDENCES,2017,399940,Condominium,1547500,1547500
DALVEY COURT,2017,259548,Apartment,2840000,2840000
DE CASALLE,2017,425236,Apartment,1335000,1335000
DE CENTURION,2017,436884,Apartment,1176500,1176500
DE LENTE,2017,278547,Apartment,1568000,1568000
DE ROYALE,2017,329111,Condominium,1771260,1579500
DE ROYALE,2017,329112,Condominium,1450000,1450000
DEDAP GARDENS,2017,809503,Terrace House,2480000,2480000
DEDAP GARDENS,2017,809519,Terrace House,2350000,2350000
DERBY COURT,2017,309461,Apartment,73880000,73880000
DERBYSHIRE HEIGHTS,2017,309459,Apartment,2090000,2090000
DEVONSHIRE RESIDENCES,2017,239855,Apartment,1180044,1180044
DLV.,2017,259469,Apartment,1524000,1524000
DOMAIN 21,2017,169813,Condominium,1541240,1446200
DOMAIN 21,2017,169814,Condominium,975000,870000
DOMUS,2017,329564,Apartment,1328600,1320000
DORMER PARK,2017,249047,Condominium,3250000,3250000
DORSETT RESIDENCES,2017,88764,Apartment,1312500,1312500
DOUBLE BAY RESIDENCES,2017,528714,Condominium,1400000,1400000
DOUBLE BAY RESIDENCES,2017,528715,Condominium,1208833.333,1200000
DOUBLE BAY RESIDENCES,2017,528716,Condominium,1386133.333,1401500
DOUBLE BAY RESIDENCES,2017,528717,Condominium,1338000,1338000
DOUBLE BAY RESIDENCES,2017,528718,Condominium,1420000,1420000
DOUBLE BAY RESIDENCES,2017,528719,Condominium,1820500,1490000
DOUBLE BAY RESIDENCES,2017,528720,Condominium,1475000,1475000
DOUBLE BAY RESIDENCES,2017,528721,Condominium,1291666.667,1280000
DOUBLE BAY RESIDENCES,2017,529881,Condominium,1335000,1335000
DOUBLE BAY RESIDENCES,2017,529882,Condominium,1019000,1019000
DOUBLE BAY RESIDENCES,2017,529883,Condominium,1059500,1069000
DOUBLE BAY RESIDENCES,2017,529884,Condominium,980000,980000
DOUBLE BAY RESIDENCES,2017,529885,Condominium,1114000,1114000
DOUBLE BAY RESIDENCES,2017,529886,Condominium,1580000,1580000
DOVER PARKVIEW,2017,138684,Condominium,1059314.667,1019000
DOVER PARKVIEW,2017,138685,Condominium,1144377.6,1050000
DOVER PARKVIEW,2017,138686,Condominium,1073333.333,1025000
DOVER PARKVIEW,2017,138687,Condominium,1093244.444,1010400
DRAGON VIEW PARK,2017,249199,Terrace House,5400000,5400000
DRAYCOTT EIGHT,2017,259403,Condominium,2320000,2370000
DRAYCOTT EIGHT,2017,259405,Condominium,5774328.333,5050000
DUBLIN LODGE,2017,239819,Terrace House,4650000,4650000
DUCHESS CREST,2017,269196,Condominium,2270250,2300000
DUCHESS CREST,2017,269197,Condominium,1895000,1895000
DUCHESS CREST,2017,269198,Condominium,1467500,1467500
DUCHESS CREST,2017,269199,Condominium,1750000,1750000
DUCHESS CREST,2017,269200,Condominium,1602000,1330000
DUCHESS CREST,2017,269201,Condominium,2042000,2109000
DUCHESS CREST,2017,269203,Condominium,1770000,1770000
DUCHESS CREST,2017,269204,Condominium,2105000,2105000
DUCHESS GARDEN,2017,269164,Semi-Detached House,5900000,5900000
DUCHESS MANOR,2017,268988,Condominium,1100000,1100000
DUCHESS MANOR,2017,269031,Condominium,2330000,2330000
DUCHESS MANOR,2017,269032,Condominium,2150000,2150000
DUCHESS RESIDENCES,2017,266310,Condominium,3200000,3200000
DUCHESS RESIDENCES,2017,266311,Condominium,3600000,3600000
DUCHESS RESIDENCES,2017,266312,Condominium,3250000,3250000
DUET,2017,258875,Condominium,2225000,2225000
DUKE'S GARDEN,2017,266907,Semi-Detached House,6400000,6400000
DUKES RESIDENCE,2017,268906,Apartment,2040000,2040000
DUKES RESIDENCE,2017,268908,Apartment,2.00E+06,2.00E+06
DUNEARN COURT,2017,289601,Apartment,36300000,36300000
DUNEARN ESTATE,2017,298507,Detached House,7500000,7500000
DUNEARN ESTATE,2017,299528,Detached House,6280000,6280000
DUNEARN ESTATE,2017,299545,Semi-Detached House,5.00E+06,5.00E+06
DUNEARN ESTATE,2017,299919,Detached House,8100000,8100000
DUNEARN GARDENS,2017,309420,Condominium,1817500,1817500
DUNEARN SUITES,2017,289609,Apartment,1040000,762500
DUNMAN PLACE,2017,439204,Apartment,1583333.333,1620000
DUNMAN REGENCY,2017,439190,Apartment,1800000,1800000
DUNMAN VIEW,2017,438797,Condominium,1180000,1170000
DUNMAN VIEW,2017,438798,Condominium,1288220,1290000
DUO RESIDENCES,2017,189350,Apartment,3053020.882,3.00E+06
DYNASTY LODGE,2017,276560,Apartment,2480000,2480000
E MAISON,2017,359946,Apartment,1225785.429,1232672
E MAISON,2017,359966,Apartment,1476318.846,1666692
E MAISON,2017,359967,Apartment,1380470.615,1254752
E7 LODGE,2017,416953,Apartment,1400000,1400000
EAST BAY GARDENS,2017,426277,Apartment,945000,945000
EAST BAY GARDENS,2017,426278,Apartment,1250000,1250000
EAST COAST HILL,2017,466875,Terrace House,2600000,2600000
EAST COAST HILL,2017,466901,Semi-Detached House,3450000,3450000
EAST COAST HILL,2017,466903,Semi-Detached House,3700000,3700000
EAST COAST HILL,2017,466949,Semi-Detached House,5.00E+06,5.00E+06
EAST COAST HILL,2017,466954,Semi-Detached House,5500000,5500000
EAST COAST HILL,2017,467079,Terrace House,3.00E+06,3.00E+06
EAST COAST RESIDENCES,2017,466488,Apartment,1293333.333,1180000
EAST ELEGANCE,2017,427336,Apartment,9.00E+05,9.00E+05
EAST GROVE,2017,429005,Apartment,1.00E+06,1.00E+06
EAST GROVE,2017,429009,Apartment,9.00E+05,9.00E+05
EAST MEADOWS,2017,465558,Condominium,1037500,1035000
EAST MEADOWS,2017,465559,Condominium,1071727.273,1080000
EAST MEADOWS,2017,465560,Condominium,1191428.571,1170000
EAST PALM,2017,456448,Apartment,1200000,1200000
EAST SHINE,2017,417026,Apartment,1100000,1100000
EAST SIGNATURE,2017,458656,Apartment,1380000,1380000
EAST VIEW,2017,429986,Apartment,1356250,1327500
EAST VIEW 18,2017,424302,Apartment,1140000,1140000
EAST VIEW GARDEN,2017,487882,Terrace House,2180000,2180000
EAST VIEW GARDEN,2017,487914,Semi-Detached House,3700000,3700000
EAST VIEW GARDEN,2017,488405,Semi-Detached House,3800000,3800000
EAST VILLAGE,2017,487049,Apartment,838000,838000
EASTBAY,2017,455615,Apartment,1390000,1390000
EASTERN GROVE,2017,468416,Terrace House,2600000,2600000
EASTERN LAGOON,2017,455284,Condominium,1077466.667,1029000
EASTERN LAGOON,2017,455286,Condominium,888000,888000
EASTERN LAGOON,2017,455287,Condominium,1263666.667,1288000
EASTERN LAGOON,2017,466402,Condominium,996666.6667,990000
EASTERN LAGOON,2017,466403,Condominium,825000,825000
EASTPOINT GREEN,2017,529890,Condominium,816980,823000
EASTPOINT GREEN,2017,529891,Condominium,840400,860000
EASTPOINT GREEN,2017,529892,Condominium,999800,863000
EASTSIDE LOFT,2017,437154,Apartment,1650000,1650000
EASTVALE,2017,519491,Executive Condominium,802600,810000
EASTVALE,2017,519492,Executive Condominium,836400,836400
EASTVALE,2017,519493,Executive Condominium,816500,816500
EASTVALE,2017,519495,Executive Condominium,775000,775000
EASTWIND MANSIONS,2017,427256,Apartment,1060000,1100000
EASTWOOD CENTRE,2017,486442,Apartment,903333.3333,810000
EASTWOOD GREEN,2017,486364,Condominium,876816.6667,863000
EASTWOOD PARK,2017,486566,Terrace House,2150000,2150000
EASTWOOD REGENCY,2017,486397,Apartment,625000,625000
EASTWOOD VILLE,2017,486486,Terrace House,2430000,2430000
EASTWOOD VILLE,2017,486507,Terrace House,2.00E+06,2.00E+06
EASTWOOD VILLE,2017,486508,Terrace House,2130000,2130000
EBONY MANSIONS,2017,425312,Apartment,1315000,1315000
ECHELON,2017,158741,Condominium,1869850,2050000
ECHELON,2017,158742,Condominium,1628333.333,1420000
ECO,2017,465457,Condominium,1160000,1160000
ECO,2017,465458,Condominium,1237500,1237500
ECO,2017,465459,Condominium,1300000,1300000
ECO,2017,465460,Condominium,770266.6667,780000
ECO,2017,465475,Terrace House,3280000,3280000
ECO,2017,465487,Terrace House,3280000,3280000
ECO,2017,465488,Condominium,1450000,1450000
ECO,2017,465489,Condominium,1469333.333,1468000
ECO,2017,469301,Terrace House,3390000,3390000
ECO SANCTUARY,2017,679522,Condominium,1305473.636,1308100
ECO SANCTUARY,2017,679523,Condominium,1025662.154,985000
ECO SANCTUARY,2017,679524,Condominium,1098577.6,1019444
ECOPOLITAN,2017,828700,Executive Condominium,838000,838000
ECOVILLE,2017,328668,Apartment,1410000,1410000
EDELWEISS PARK CONDOMINIUM,2017,507000,Condominium,1015000,1015000
EDELWEISS PARK CONDOMINIUM,2017,507002,Condominium,1116500,1116500
EDELWEISS PARK CONDOMINIUM,2017,507003,Condominium,830000,830000
EDELWEISS PARK CONDOMINIUM,2017,507004,Condominium,1480000,1480000
EDELWEISS PARK CONDOMINIUM,2017,507005,Condominium,986000,986000
EDELWEISS PARK CONDOMINIUM,2017,507006,Condominium,760000,760000
EDELWEISS PARK CONDOMINIUM,2017,507007,Condominium,1065000,1065000
EDELWEISS PARK CONDOMINIUM,2017,507008,Condominium,2150000,2150000
EDELWEISS PARK CONDOMINIUM,2017,509744,Condominium,1039833.333,962500
EDEN PARK,2017,279835,Detached House,9300000,9300000
EIGHT COURTYARDS,2017,768094,Condominium,922500,922500
EIGHT COURTYARDS,2017,768095,Condominium,1020000,1020000
EIGHT COURTYARDS,2017,768096,Condominium,1277962.667,1310000
EIGHT COURTYARDS,2017,768097,Condominium,855666.6667,820000
EIGHT COURTYARDS,2017,768098,Condominium,1050000,1050000
EIGHT COURTYARDS,2017,768099,Condominium,975000,975000
EIGHT COURTYARDS,2017,768100,Condominium,1009333.333,1070000
EIGHT COURTYARDS,2017,768138,Condominium,775000,775000
EIGHT COURTYARDS,2017,768140,Condominium,920000,920000
EIGHT COURTYARDS,2017,768141,Condominium,802375,794000
EIGHT COURTYARDS,2017,768143,Condominium,902500,902500
EIGHT RIVERSUITES,2017,338517,Condominium,769416.6667,718000
EIGHT RIVERSUITES,2017,338519,Condominium,973666.6667,1017500
EIGHT RIVERSUITES,2017,338520,Condominium,818000,725000
EIGHT RIVERSUITES,2017,338521,Condominium,1011400,997000
EIGHT RIVERSUITES,2017,338522,Terrace House,2150000,2150000
EIGHT RIVERSUITES,2017,338523,Terrace House,2150000,2150000
EIGHT RIVERSUITES,2017,338524,Terrace House,2150000,2150000
EIGHT RIVERSUITES,2017,338525,Terrace House,2150000,2150000
EIGHT RIVERSUITES,2017,338528,Terrace House,2150000,2150000
EIGHT RIVERSUITES,2017,338530,Terrace House,2.00E+06,2.00E+06
EIGHT RIVERSUITES,2017,338531,Terrace House,2.00E+06,2.00E+06
EIGHT RIVERSUITES,2017,338533,Terrace House,2100000,2100000
EIGHT RIVERSUITES,2017,338534,Terrace House,2.00E+06,2.00E+06
EIGHT RIVERSUITES,2017,338540,Terrace House,2.00E+06,2.00E+06
EIS RESIDENCES,2017,438859,Apartment,925000,925000
ELEVEN @ HOLLAND,2017,275764,Semi-Detached House,17500000,17500000
ELIAS GREEN,2017,519959,Condominium,875800,880000
ELIAS GREEN,2017,519960,Condominium,842500,842500
ELIAS GREEN,2017,519961,Condominium,857923.0769,837000
ELIAS GREEN,2017,519962,Condominium,840000,840000
ELIAS GREEN,2017,519963,Condominium,882333.3333,880000
ELIAS GREEN,2017,519964,Condominium,835000,840000
ELIAS GREEN,2017,519966,Condominium,835000,835000
ELIAS TERRACE,2017,519782,Terrace House,2500000,2500000
ELIAS TERRACE,2017,519820,Terrace House,2600000,2600000
ELITE RESIDENCES,2017,458806,Terrace House,2578300,2578300
ELITE RESIDENCES,2017,458817,Terrace House,2578300,2578300
ELITE RESIDENCES,2017,458818,Terrace House,2509254,2509254
ELIZABETH HEIGHTS,2017,229668,Condominium,4.00E+06,4.00E+06
ELIZABETH TOWER,2017,228511,Apartment,4493362.667,4500088
ELIZABETH TOWER,2017,228512,Apartment,3500000,3500000
ELLIOT AT THE EAST COAST,2017,458705,Condominium,2050000,2050000
ELLIOT AT THE EAST COAST,2017,458708,Condominium,1900000,1900000
EMERALD EAST,2017,436892,Apartment,1491428.571,1350000
EMERALD GARDEN,2017,69415,Condominium,1843446.667,1959430
EMERALD HILL CONSERVATION AREA,2017,229343,Terrace House,10800000,10800000
EMERALD HILL CONSERVATION AREA,2017,229422,Apartment,1880000,1880000
EMERALD PARK,2017,169586,Condominium,1120000,1105000
EMERALD PARK,2017,169588,Condominium,1180000,1180000
EMERY POINT,2017,438622,Apartment,1265000,1520000
EN FU MANSIONS,2017,387988,Apartment,908000,908000
ENG AUN MANSION,2017,307654,Apartment,1150000,1150000
ENG AUN MANSION,2017,307658,Apartment,1060000,1060000
ENG HOON MANSIONS,2017,169767,Apartment,1620000,1620000
ENG KONG GREEN,2017,599045,Semi-Detached House,3908000,3908000
ENG KONG GREEN,2017,599427,Condominium,1030000,1030000
ENG KONG GREEN,2017,599428,Condominium,750000,750000
ENG KONG GREEN,2017,599429,Condominium,750000,750000
ENG KONG PARK,2017,599113,Terrace House,3700000,3700000
ENG KONG PARK,2017,599281,Semi-Detached House,5250000,5250000
ENVIO,2017,427962,Apartment,1355000,1355000
EON SHENTON,2017,79118,Apartment,1687505,1823100
EQUATORIAL APARTMENTS,2017,437872,Apartment,2775000,2775000
EQUATORIAL APARTMENTS,2017,437875,Apartment,2750000,2750000
ESCADA VIEW,2017,417657,Condominium,960000,960000
ESPA,2017,679692,Condominium,1.00E+06,1.00E+06
ESPA,2017,679693,Condominium,1100000,1100000
ESPA,2017,679695,Condominium,1200000,1200000
ESPADA,2017,238126,Apartment,1050942.857,923800
ESPARINA RESIDENCES,2017,544816,Executive Condominium,965000,965000
ESPARINA RESIDENCES,2017,544821,Executive Condominium,938000,938000
ESPARINA RESIDENCES,2017,544998,Executive Condominium,755000,755000
ESPIRA RESIDENCE,2017,425710,Apartment,1670000,1670000
ESPIRA SPRING,2017,426244,Apartment,1350000,1300000
ESPIRA SPRING,2017,426327,Apartment,1240000,1240000
ESPIRA SUITES,2017,426121,Apartment,667500,667500
ESTA RUBY,2017,399839,Apartment,1315000,1315000
ESTE VILLA,2017,804968,Terrace House,2220000,2220000
ESTE VILLA,2017,804996,Terrace House,2220000,2220000
ESTE VILLA,2017,805032,Terrace House,2300000,2300000
ESTE VILLA,2017,805072,Terrace House,2400000,2400000
ESTE VILLA,2017,805288,Terrace House,2180000,2180000
ESTE VILLA,2017,807596,Terrace House,2180000,2180000
ESTELLA GARDENS,2017,509739,Condominium,870800,950000
ESTELLA GARDENS,2017,509741,Condominium,695600,588000
ESTELLA GARDENS,2017,509742,Condominium,894177.6,930000
ESTILO,2017,228071,Apartment,836853.3333,835560
ESTIQUE,2017,437361,Apartment,1013333.333,875000
EUHABITAT,2017,415867,Condominium,753333.3333,660000
EUHABITAT,2017,415869,Condominium,645000,620000
EUHABITAT,2017,415870,Condominium,637666.6667,648000
EUHABITAT,2017,415871,Condominium,663333.3333,665000
EUHABITAT,2017,415872,Condominium,7.00E+05,7.00E+05
EUHABITAT,2017,419539,Condominium,1227500,1227500
EUHABITAT,2017,419541,Condominium,1130000,1130000
EUHABITAT,2017,419542,Condominium,1028666.667,1050000
EUHABITAT,2017,419544,Condominium,1190000,1190000
EUHABITAT,2017,419545,Condominium,1044733.333,1040000
EUHABITAT,2017,419546,Condominium,650000,650000
EUHABITAT,2017,419547,Condominium,659000,659000
EUHABITAT,2017,419548,Condominium,643250,646500
EUHABITAT,2017,419549,Condominium,630000,630000
EUHABITAT,2017,419550,Condominium,647500,647500
EUHABITAT,2017,419551,Condominium,1079000,1079000
EUHABITAT,2017,419552,Condominium,1490000,1490000
EUNOS GREEN,2017,416558,Condominium,1444900,1444900
EUNOS MANSION,2017,419535,Condominium,1060000,1050000
EUNOS PARK,2017,417771,Condominium,1300500,1301000
EUNOSVILLE,2017,400840,Apartment,765781819,765781819
EUPHONY GARDENS,2017,759075,Condominium,910000,910000
EUPHONY GARDENS,2017,759150,Condominium,739998,739998
EUPHONY GARDENS,2017,759151,Condominium,1008333.333,1020000
EUPHONY GARDENS,2017,759152,Condominium,982500,982500
EUPHONY GARDENS,2017,759154,Condominium,1090000,1090000
EUPHONY GARDENS,2017,759155,Condominium,793750,762500
EURO-ASIA APARTMENTS,2017,328170,Apartment,1541666.667,1615000
EURO-ASIA COURT,2017,238431,Apartment,2020000,2200000
EURO-ASIA PARK,2017,357920,Condominium,1640500,1796000
EVANIA,2017,534979,Apartment,1135000,1135000
EVELYN MANSIONS,2017,309309,Apartment,1279500,1284000
EVERGREEN GARDEN,2017,468880,Terrace House,2620000,2620000
EVERGREEN GARDEN,2017,468932,Semi-Detached House,3690000,3690000
EVERGREEN GARDEN,2017,468943,Detached House,4800000,4800000
EVERGREEN PARK,2017,538800,Apartment,782857.1429,777000
EVERGREEN PARK,2017,538802,Apartment,783166.6667,782500
EVERGREEN PARK,2017,538803,Apartment,796722.2222,795000
EVERGREEN VIEW,2017,398150,Apartment,1341666.667,1220000
EVERITT EDGE,2017,427800,Apartment,655000,655000
EVERITT GREEN,2017,428522,Apartment,1509000,1509000
EWART PARK,2017,279764,Detached House,15928950,15928950
EWE BOON REGENT,2017,259332,Apartment,1400000,1400000
EXCELLENCE MANSIONS,2017,388159,Apartment,1300000,1300000
FABER CREST,2017,129196,Condominium,1455000,1455000
FABER CREST,2017,129198,Condominium,1133000,1133000
FABER CREST,2017,129199,Condominium,1517500,1517500
FABER CREST,2017,129200,Condominium,1009333.333,1018000
FABER CREST,2017,129201,Condominium,1040000,1040000
FABER CREST,2017,129204,Condominium,995000,995000
FABER CREST,2017,129205,Condominium,1070000,1070000
FABER CREST,2017,129206,Condominium,1070000,1070000
FABER GARDEN,2017,576848,Semi-Detached House,3350000,3350000
FABER GARDEN,2017,576988,Semi-Detached House,3460000,3460000
FABER GARDEN CONDOMINIUM,2017,579980,Condominium,2280000,2280000
FABER GARDEN CONDOMINIUM,2017,579981,Condominium,1850000,1850000
FABER GARDEN CONDOMINIUM,2017,579982,Condominium,2143333.333,1980000
FABER HILLS,2017,129410,Apartment,1399988,1399988
FAIRMOUNT CONDOMINIUM,2017,486365,Condominium,1001472,994444
FAME COURT,2017,458872,Terrace House,3150000,3150000
FAR HORIZON GARDENS,2017,569758,Condominium,1368000,1368000
FAR HORIZON GARDENS,2017,569761,Condominium,1580000,1580000
FAR HORIZON GARDENS,2017,569762,Condominium,801500,801500
FAR HORIZON GARDENS,2017,569763,Condominium,1163333.333,1350000
FAR HORIZON GARDENS,2017,569765,Condominium,1107200,910000
FARRER PARK SUITES,2017,218896,Apartment,670000,670000
FERNHILL COTTAGE,2017,259121,Terrace House,2830000,2830000
FERNHILL PLACE,2017,259056,Terrace House,4380000,4380000
FERNWOOD TOWERS,2017,458554,Condominium,1400000,1400000
FERNWOOD TOWERS,2017,458555,Condominium,1375000,1375000
FERNWOOD TOWERS,2017,458556,Condominium,1900000,1900000
FERRARIA PARK CONDOMINIUM,2017,506941,Condominium,1076666.667,1150000
FERRARIA PARK CONDOMINIUM,2017,506942,Condominium,976500,976500
FERRARIA PARK CONDOMINIUM,2017,506943,Condominium,904500,820000
FERRARIA PARK CONDOMINIUM,2017,506944,Condominium,948333.3333,830000
FERRARIA PARK CONDOMINIUM,2017,506945,Condominium,824250,797500
FERRARIA PARK CONDOMINIUM,2017,506946,Condominium,1104000,1104000
FERRARIA PARK CONDOMINIUM,2017,506947,Condominium,912500,912500
FERRARIA PARK CONDOMINIUM,2017,506948,Condominium,872500,872500
FERRARIA PARK CONDOMINIUM,2017,506950,Condominium,880000,880000
FERRARIA PARK CONDOMINIUM,2017,506951,Condominium,1270000,1270000
FERRELL RESIDENCES,2017,259715,Apartment,3050000,3050000
FIFTH AVENUE CONDOMINIUM,2017,268800,Condominium,2600000,2600000
FIFTY-TWO STEVENS,2017,257848,Apartment,890000,890000
FIORENZA,2017,549576,Apartment,1133333.333,1100000
FIRST POINT SUITES,2017,426068,Apartment,1700000,1700000
FLAME TREE PARK,2017,575728,Condominium,1960148,1880000
FLAMINGO VALLEY,2017,454852,Condominium,2056000,1650000
FLAMINGO VALLEY,2017,454855,Condominium,1330000,1330000
FLAMINGO VALLEY,2017,454943,Condominium,1233333.333,1220000
FLAMINGO VALLEY,2017,454946,Condominium,1572000,1425000
FLAMINGO VALLEY,2017,455939,Condominium,1651000,1145000
