"","Planning Area","Subzone","Planning Region","Total","young","old","Economically Active","% Young","% Old","% Economically Active","Year"
"138","Jurong West","Taman Jurong","West Region",37400,11340,3820,22240,30.3208475077948,10.2139010123259,59.4652247419185,2017
"139","Jurong West","Taman Jurong","North Region",37400,11340,3820,22240,30.3208475077948,10.2139010123259,59.4652247419185,2017
"140","Jurong West","Wenya","West Region",8560,2760,680,5140,32.16779467623,7.92539868834652,59.9066900854428,2017
"141","Jurong West","Wenya","North Region",8560,2760,680,5140,32.16779467623,7.92539868834652,59.9066900854428,2017
"142","Jurong West","Yunnan","West Region",68700,20850,6540,41350,30.3316801961478,9.51410975936722,60.1541954969166,2017
"143","Jurong West","Yunnan","North Region",68700,20850,6540,41350,30.3316801961478,9.51410975936722,60.1541954969166,2017
"144","Kallang","Bendemeer","Central Region",34860,7710,6120,21040,22.1106905332118,17.5508983220825,60.3383824667673,2017
"145","Kallang","Boon Keng","Central Region",12300,2600,2470,7260,21.0867631088701,20.0324249534266,58.8807308347682,2017
"146","Kallang","Crawford","Central Region",9350,1630,2570,5150,17.4331364351482,27.4866016186079,55.0801549944866,2017
"147","Kallang","Geylang Bahru","Central Region",12320,2680,2430,7220,21.7355865891431,19.7080132132902,58.5563190946317,2017
"148","Kallang","Kallang Bahru","Central Region",30,0,0,0,0,0,0,2017
"149","Kallang","Kampong Bugis","Central Region",860,170,140,550,19.7672120091627,16.278880478134,63.9527447355263,2017
"150","Kallang","Kampong Java","Central Region",10850,2410,2120,6330,22.1915081109502,19.5211606619147,58.2872391461886,2017
"151","Kallang","Lavender","Central Region",9990,2230,1810,5950,22.3222999776777,18.1180999818819,59.5594999404405,2017
"152","Kallang","Tanjong Rhu","Central Region",11060,2930,1370,6770,26.467907436398,12.3757792450052,61.1562229844417,2017
"153","Lim Chu Kang","Lim Chu Kang",NA,110,40,20,60,33.3305557870177,16.6652778935089,49.9958336805266,2017
"154","Mandai","Mandai East","North Region",0,0,0,0,0,0,0,2017
"155","Mandai","Mandai Estate","North Region",2130,670,220,1220,31.7534040123033,10.4264908697115,57.8196311865821,2017
"156","Mandai","Mandai West","North Region",0,0,0,0,0,0,0,2017
"157","Marina East","Marina East",NA,0,0,0,0,0,0,0,2017
"158","Marina South","Marina South",NA,0,0,0,0,0,0,0,2017
"159","Marine Parade","East Coast","Central Region",0,0,0,0,0,0,0,2017
"160","Marine Parade","Katong","Central Region",9430,2460,1430,5550,26.0592944287135,15.1482890378294,58.7923106013659,2017
"161","Marine Parade","Marina East (Mp)","Central Region",0,0,0,0,0,0,0,2017
"162","Marine Parade","Marine Parade","Central Region",28080,6990,5660,15450,24.8754359873893,20.1423415863553,54.9821868390794,2017
"163","Marine Parade","Mountbatten","Central Region",10380,2860,1520,6010,27.5264412642529,14.6294373152673,57.8440251741817,2017
"164","Museum","Bras Basah","Central Region",10,0,0,0,0,0,0,2017
