month,category,number_of_tankers,gross_tonnage
2009-11,Oil Tankers,1148,35903.81
2009-11,Chemical Tankers,339,3651.24
2009-11,LNG & LPG Tankers,125,4107.22
2009-12,Oil Tankers,1177,37542.22
2009-12,Chemical Tankers,364,4112.5
2009-12,LNG & LPG Tankers,146,5390.78
2010-01,Oil Tankers,1275,38521.86
2010-01,Chemical Tankers,371,3710.68
2010-01,LNG & LPG Tankers,139,4935.24
2010-02,Oil Tankers,1172,35601.11
2010-02,Chemical Tankers,353,3613.11
2010-02,LNG & LPG Tankers,129,4494.17
2010-03,Oil Tankers,1274,39638.29
2010-03,Chemical Tankers,407,4029.04
2010-03,LNG & LPG Tankers,149,4444.55
2010-04,Oil Tankers,1211,36620.58
2010-04,Chemical Tankers,385,4120
2010-04,LNG & LPG Tankers,121,4202.24
2010-05,Oil Tankers,1264,38662.55
2010-05,Chemical Tankers,383,4091.22
2010-05,LNG & LPG Tankers,127,4188.89
2010-06,Oil Tankers,1252,38233.95
2010-06,Chemical Tankers,398,4361.2
2010-06,LNG & LPG Tankers,164,5821.72
2010-07,Oil Tankers,1298,39930.34
2010-07,Chemical Tankers,412,4453.74
2010-07,LNG & LPG Tankers,142,4137.65
2010-08,Oil Tankers,1317,39924.63
2010-08,Chemical Tankers,400,3890.38
2010-08,LNG & LPG Tankers,120,3757.99
2010-09,Oil Tankers,1248,38350.79
2010-09,Chemical Tankers,386,4074.42
2010-09,LNG & LPG Tankers,130,4373.2
2010-10,Oil Tankers,1281,42142.1
2010-10,Chemical Tankers,375,3949.45
2010-10,LNG & LPG Tankers,149,4444.7
2010-11,Oil Tankers,1234,40219.29
2010-11,Chemical Tankers,353,4074.85
2010-11,LNG & LPG Tankers,126,3820.35
2010-12,Oil Tankers,1267,39869.67
2010-12,Chemical Tankers,384,4024.51
2010-12,LNG & LPG Tankers,159,4665.46
2011-01,Oil Tankers,1367,43428.1
2011-01,Chemical Tankers,380,4014.9
2011-01,LNG & LPG Tankers,138,4102.92
2011-02,Oil Tankers,1230,43763.92
2011-02,Chemical Tankers,348,3787.9
2011-02,LNG & LPG Tankers,125,3794.61
2011-03,Oil Tankers,1405,48744.94
2011-03,Chemical Tankers,402,4211.18
2011-03,LNG & LPG Tankers,147,5312.03
2011-04,Oil Tankers,1346,44776.25
2011-04,Chemical Tankers,365,3761.83
2011-04,LNG & LPG Tankers,149,5693.44
2011-05,Oil Tankers,1346,44088.28
2011-05,Chemical Tankers,393,4274.29
2011-05,LNG & LPG Tankers,153,5527.5
2011-06,Oil Tankers,1279,40253.57
2011-06,Chemical Tankers,380,4010.95
2011-06,LNG & LPG Tankers,161,6026.86
2011-07,Oil Tankers,1347,43985.03
2011-07,Chemical Tankers,397,4183.42
2011-07,LNG & LPG Tankers,150,5325
2011-08,Oil Tankers,1396,49751.01
2011-08,Chemical Tankers,384,4174.15
2011-08,LNG & LPG Tankers,172,6411.89
2011-09,Oil Tankers,1238,42791.83
2011-09,Chemical Tankers,386,4032.96
2011-09,LNG & LPG Tankers,148,5874.11
2011-10,Oil Tankers,1307,44345.14
2011-10,Chemical Tankers,406,4153.94
2011-10,LNG & LPG Tankers,161,5901.89
2011-11,Oil Tankers,1252,40825.78
2011-11,Chemical Tankers,370,4118.73
2011-11,LNG & LPG Tankers,139,5729.66
2011-12,Oil Tankers,1348,50140.74
2011-12,Chemical Tankers,377,4287.25
2011-12,LNG & LPG Tankers,188,7075.7
2012-01,Oil Tankers,1361,48370.99
2012-01,Chemical Tankers,374,4296.67
2012-01,LNG & LPG Tankers,167,5916.02
2012-02,Oil Tankers,1242,44165.65
2012-02,Chemical Tankers,379,4259.22
2012-02,LNG & LPG Tankers,163,6214.4
2012-03,Oil Tankers,1402,52632.37
2012-03,Chemical Tankers,366,4126.67
2012-03,LNG & LPG Tankers,177,7188.51
2012-04,Oil Tankers,1284,45864.62
2012-04,Chemical Tankers,385,4407.09
2012-04,LNG & LPG Tankers,182,7806.59
2012-05,Oil Tankers,1359,48730.19
2012-05,Chemical Tankers,412,4598.18
2012-05,LNG & LPG Tankers,174,7957.71
2012-06,Oil Tankers,1281,46759.17
2012-06,Chemical Tankers,358,3804.83
2012-06,LNG & LPG Tankers,166,7903.08
2012-07,Oil Tankers,1269,44543.82
2012-07,Chemical Tankers,381,4035.57
2012-07,LNG & LPG Tankers,168,6838.86
2012-08,Oil Tankers,1255,44369.4
2012-08,Chemical Tankers,387,4087.65
2012-08,LNG & LPG Tankers,168,7319.1
2012-09,Oil Tankers,1270,45227.2
2012-09,Chemical Tankers,404,4410.71
2012-09,LNG & LPG Tankers,160,6506.44
2012-10,Oil Tankers,1288,46485.87
2012-10,Chemical Tankers,392,4427.29
2012-10,LNG & LPG Tankers,163,5815.99
2012-11,Oil Tankers,1326,47071.91
2012-11,Chemical Tankers,362,3754.87
2012-11,LNG & LPG Tankers,154,6258.17
2012-12,Oil Tankers,1365,47564.18
2012-12,Chemical Tankers,334,3645.26
2012-12,LNG & LPG Tankers,152,6475.22
2013-01,Oil Tankers,1386,48267.42
2013-01,Chemical Tankers,351,3920.28
2013-01,LNG & LPG Tankers,150,5954.14
2013-02,Oil Tankers,1281,44772.7
2013-02,Chemical Tankers,323,3780.72
2013-02,LNG & LPG Tankers,146,6940.21
2013-03,Oil Tankers,1311,44971.47
2013-03,Chemical Tankers,364,3965.51
2013-03,LNG & LPG Tankers,171,6888.02
2013-04,Oil Tankers,1336,45556.54
2013-04,Chemical Tankers,389,4212.44
2013-04,LNG & LPG Tankers,170,6825.21
2013-05,Oil Tankers,1388,50883.01
2013-05,Chemical Tankers,398,4299.96
2013-05,LNG & LPG Tankers,151,6896.17
2013-06,Oil Tankers,1264,44770.37
2013-06,Chemical Tankers,390,4281.06
2013-06,LNG & LPG Tankers,164,7541.08
2013-07,Oil Tankers,1412,50828.47
2013-07,Chemical Tankers,378,4154.86
2013-07,LNG & LPG Tankers,162,6908.06
2013-08,Oil Tankers,1350,48231.46
2013-08,Chemical Tankers,386,4129.15
2013-08,LNG & LPG Tankers,154,7166.33
2013-09,Oil Tankers,1276,44195.27
2013-09,Chemical Tankers,381,4302.74
2013-09,LNG & LPG Tankers,177,7926.27
2013-10,Oil Tankers,1340,45670.36
2013-10,Chemical Tankers,396,4452.26
2013-10,LNG & LPG Tankers,185,7397.65
2013-11,Oil Tankers,1371,47819.53
2013-11,Chemical Tankers,364,4025.52
2013-11,LNG & LPG Tankers,182,8260.05
2013-12,Oil Tankers,1410,51983.08
2013-12,Chemical Tankers,373,4308.89
2013-12,LNG & LPG Tankers,187,8357.32
2014-01,Oil Tankers,1415,53857.93
2014-01,Chemical Tankers,393,4363.07
2014-01,LNG & LPG Tankers,199,8959
2014-02,Oil Tankers,1201,44359.27
2014-02,Chemical Tankers,377,4186.9
2014-02,LNG & LPG Tankers,187,8731.37
2014-03,Oil Tankers,1313,47685.58
2014-03,Chemical Tankers,426,4815.29
2014-03,LNG & LPG Tankers,190,8551.14
2014-04,Oil Tankers,1289,46791.95
2014-04,Chemical Tankers,395,4388.14
2014-04,LNG & LPG Tankers,192,8733.23
2014-05,Oil Tankers,1348,47457.89
2014-05,Chemical Tankers,413,4719.12
2014-05,LNG & LPG Tankers,197,9743.18
2014-06,Oil Tankers,1214,40851.57
2014-06,Chemical Tankers,385,4302.47
2014-06,LNG & LPG Tankers,191,8176
2014-07,Oil Tankers,1281,46220.57
2014-07,Chemical Tankers,406,4485.62
2014-07,LNG & LPG Tankers,208,8771.47
2014-08,Oil Tankers,1289,48568.89
2014-08,Chemical Tankers,354,3982.31
2014-08,LNG & LPG Tankers,184,8378.91
2014-09,Oil Tankers,1239,45207.46
2014-09,Chemical Tankers,357,4041.67
2014-09,LNG & LPG Tankers,168,7261.75
2014-10,Oil Tankers,1295,44761.91
2014-10,Chemical Tankers,388,4277.4
2014-10,LNG & LPG Tankers,174,7583.77
2014-11,Oil Tankers,1226,44920.21
2014-11,Chemical Tankers,356,4130.41
2014-11,LNG & LPG Tankers,179,8328.67
2014-12,Oil Tankers,1239,44443.92
2014-12,Chemical Tankers,379,4231.23
2014-12,LNG & LPG Tankers,171,7194.7
2015-01,Oil Tankers,1254,47113.58
2015-01,Chemical Tankers,410,4791.36
2015-01,LNG & LPG Tankers,187,8140.82
2015-02,Oil Tankers,1148,42215.5
2015-02,Chemical Tankers,397,4493.21
2015-02,LNG & LPG Tankers,166,7510.69
2015-03,Oil Tankers,1241,50191.37
2015-03,Chemical Tankers,413,4478.65
2015-03,LNG & LPG Tankers,184,7125.76
2015-04,Oil Tankers,1236,48688.49
2015-04,Chemical Tankers,431,4773.47
2015-04,LNG & LPG Tankers,192,7854.93
2015-05,Oil Tankers,1230,47228.38
2015-05,Chemical Tankers,427,4709.42
2015-05,LNG & LPG Tankers,194,8678.17
2015-06,Oil Tankers,1164,45972.68
2015-06,Chemical Tankers,426,5041.42
2015-06,LNG & LPG Tankers,173,7006
2015-07,Oil Tankers,1195,47719.64
2015-07,Chemical Tankers,416,4945.97
2015-07,LNG & LPG Tankers,217,8557.31
2015-08,Oil Tankers,1260,51170.96
2015-08,Chemical Tankers,436,5041.77
2015-08,LNG & LPG Tankers,202,8215.83
2015-09,Oil Tankers,1162,44615.94
2015-09,Chemical Tankers,421,4617.72
2015-09,LNG & LPG Tankers,181,7372.16
2015-10,Oil Tankers,1232,47585.7
2015-10,Chemical Tankers,458,5390.14
2015-10,LNG & LPG Tankers,211,8704.28
2015-11,Oil Tankers,1237,46686.92
2015-11,Chemical Tankers,434,4858.07
2015-11,LNG & LPG Tankers,182,6467.33
2015-12,Oil Tankers,1317,48152.17
2015-12,Chemical Tankers,414,4890.85
2015-12,LNG & LPG Tankers,214,8438.82
2016-01,Oil Tankers,1429,60999.589
2016-01,Chemical Tankers,441,5365.979
2016-01,LNG & LPG Tankers,227,8330.765
2016-02,Oil Tankers,1299,53534.184
2016-02,Chemical Tankers,373,4346.504
2016-02,LNG & LPG Tankers,195,6539.382
2016-03,Oil Tankers,1538,64618.228
2016-03,Chemical Tankers,434,5218.771
2016-03,LNG & LPG Tankers,221,7334.088
2016-04,Oil Tankers,1397,55965.617
2016-04,Chemical Tankers,429,4905.753
2016-04,LNG & LPG Tankers,213,9287.445
2016-05,Oil Tankers,1397,57930.016
2016-05,Chemical Tankers,408,4720.4
2016-05,LNG & LPG Tankers,244,10423.665
2016-06,Oil Tankers,1405,57371.079
2016-06,Chemical Tankers,407,4877.471
2016-06,LNG & LPG Tankers,229,10258.609
2016-07,Oil Tankers,1432,61879.449
2016-07,Chemical Tankers,377,4424.363
2016-07,LNG & LPG Tankers,228,11161.838
2016-08,Oil Tankers,1354,58957.11
2016-08,Chemical Tankers,391,4855.045
2016-08,LNG & LPG Tankers,245,10725.541
2016-09,Oil Tankers,1381,57433.309
2016-09,Chemical Tankers,393,4663.036
2016-09,LNG & LPG Tankers,229,10291.072
2016-10,Oil Tankers,1385,56873.706
2016-10,Chemical Tankers,372,4224.771
